arrondissements,cantons,communes,departements,regions,quartiers,QP
Yssingeaux,Brazey-en-Plaine,Alixan,,,Corsy,QP034016
Épernay,Brebières,Alizay,,,Costes Rouges,QP034017
Épinal,Bresse,Alièze,,,Cotonne Montferré,QP034018
Étampes,Bressuire,Allain,,,Cotonnière,QP034019
Évreux,Brest-1,Allaines,,,Cottage Elargi,QP034020
Évry,Brest-2,Allaines-Mervilliers,,,Cournon D'Auvergne,QP034021
,Brest-3,Allainville,,,Couronneries Saint-Eloi,QP034022
,Brest-4,Allaire,,,Courteille,QP035001
,Brest-5,Allamont,,,Couture Savonnerie,QP035002
,Breteuil,Allamps,,,Cressonnière - Manguiers - Mille Roches,QP035003
,Bretoncelles,Allan,,,Crins - En Gach,QP035004
,Bretteville-l'Orgueilleuse,Allanche,,,Croix Blanche,QP035005
,Briançon-1,Alland'Huy-et-Sausseuil,,,Croix Rouge,QP035006
,Briançon-2,Allarmont,,,Croix Saint-Lambert - Ville Oger,QP036001
,Bricquebec,Allas-Bocage,,,Cronenbourg,QP036002
,Briec,Allas-Champagne,,,Crouin,QP036003
,Brienne-le-Château,Allas-les-Mines,,,Crêt De Roc - Soleil,QP036004
,Brienon-sur-Armançon,Allassac,,,Cuyès,QP037001
,Brignais,Allauch,,,Cépière Beauregard,QP037002
,Brignoles,Alleins,,,Cévennes,QP037003
,Brionne,Allemagne-en-Provence,,,Côte Sainte-Catherine-Libération,QP037004
,Brioude,Allemanche-Launay-et-Soyer,,,Côtes des Roses - Bel Air,QP037005
,Brive-la-Gaillarde-1,Allemans,,,Cœur d'agglo - Vieux Bourg - Les Lauriers,QP037006
,Brive-la-Gaillarde-2,Allemans-du-Dropt,,,Cœur de Loriol,QP037007
,Brive-la-Gaillarde-3,Allemant,,,Cœur de Ville,QP037008
,Brive-la-Gaillarde-4,Allemond,,,Cœur et quartier de Saint-Gaudens,QP037009
,Broons,Allenay,,,Damrémont,QP037010
,Brou,Allenc,,,Danube - Solidarité - Marseillaise,QP037011
,Bruay-la-Buissière,Allenjoie,,,Dardel - La Méchelle,QP037012
,Brumath,Allennes-les-Marais,,,Dauphine,QP038001
,Brunstatt,Allerey,,,De Gaulle,QP038002
,Bruyères,Allerey-sur-Saône,,,Debussy,QP038003
,Bruz,Allery,,,Degroote,QP038004
,Brède,Alles-sur-Dordogne,,,Delaune Masson Colomb,QP038005
,Bréhal,Alleuze,,,Denain,QP038006
,Brétigny-sur-Orge,Allevard,,,Des résidences Sud du Boulonnais,QP038007
,Bugey savoyard,Allex,,,Desfarges-Fanon,QP038008
,Bully-les-Mines,Alleyrac,,,Devèze,QP038009
,Buzançais,Alleyras,,,Diagonale Du Haut - Moyen-Vernet,QP038010
,Bégard,Alleyrat,,,Didot - Porte de Vanves,QP038011
,Béthune,Allez-et-Cazeneuve,,,Docteur Ayme - Condamines - Barillon - Saint Martin - Bon Puits - Saint Gilles - Ratacans,QP038012
,Béziers-1,Alliancelles,,,Domaine De La Vallée,QP038013
,Béziers-2,Alliat,,,Dorat,QP038014
,Béziers-3,Allibaudières,,,Drouot-Jonquilles,QP038015
,Cabourg,Allichamps,,,Du Village Au Moulin,QP038016
,Cachan,Allier,,,Duchère,QP038018
,Caen-1,Alligny-Cosne,,,Duchêne,QP038019
,Caen-2,Alligny-en-Morvan,,,Duclos - Barel,QP038021
,Caen-3,Allineuc,,,Duclos-Sausset,QP038022
,Caen-4,Allinges,,,Dunant - Kennedy,QP038023
,Caen-5,Allières,,,Dutemple Chasse Royale Saint Waast - La Sentinelle,QP038024
,Cagnes-sur-Mer-1,Alliés,,,Eau Lisette,QP038025
,Cagnes-sur-Mer-2,Allogny,,,Edouard Vaillant,QP038026
,Cahors-1,Alloinay,,,Elbeuf-Lescouvé,QP039001
,Cahors-2,Allondans,,,Eldo,QP039002
,Cahors-3,Allondaz,,,Elnon,QP039003
,Calais-1,Allondrelle-la-Malmaison,,,Elsau,QP039004
,Calais-2,Allonne,,,Empalot,QP040001
,Calais-3,Allonnes,,,Encagnane,QP040002
,Callac,Allons,,,Enezeg,QP040003
,Calvi,Allonville,,,Eperon,QP040004
,Calvisson,Allonzier-la-Caille,,,Epidéme Villas Couteaux,QP040005
,Cambrai,Allos,,,Epine,QP041001
,Canigou,Allouagne,,,Epinettes - Maladrerie - Chemin Des Bouchers - Paul Petit,QP041002
,Cannes-1,Alloue,,,Erima,QP041003
,Cannes-2,Allouis,,,Ermitage - Vue belle - Saline,QP042001
,Cannet,Allouville-Bellefosse,,,Escanaux - Coronelle - Citadelle - Vigan Braquet,QP042002
,Canourgue,Allues,,,Espérance - Provinces - Lopofa - Québec,QP042003
,Canteleu,Alluets-le-Roi,,,Essarts - Surieux,QP042004
,Cap Corse,Alluy,,,Estall,QP042005
,Capesterre-Belle-Eau,Alluyes,,,Estressin,QP042006
,Carcassonne-1,Ally,,,Etang - Rue Jacquot - Savanna,QP042007
,Carcassonne-2,Allègre,,,Etats-Unis - Langlet Santy,QP042008
,Carcassonne-3,Allègre-les-Fumades,,,Etouvie,QP042009
,Carentan,Allèves,,,Europe,QP042010
,Carhaix-Plouguer,Allériot,,,Europe - Schweitzer,QP042011
,Carignan,Almayrac,,,Fabien- Saint Exupéry,QP042012
,Carmaux-1 Le Ségala,Almenêches,,,Falguière,QP042013
,Carmaux-2 Vallée du Cérou,Almont-les-Junies,,,Fareroi,QP042014
,Carpentras,Alos,,,Fatima-Route De Mana,QP042015
,Carquefou,Alos-Sibas-Abense,,,Faubourg D'Isle,QP042016
,Carvin,Aloxe-Corton,,,Faubourg De Béthune,QP042017
,Casinca-Fumalto,Alquines,,,Fautaua,QP042018
,Castagniccia,Alrance,,,Fautaua Vallée,QP042019
,Castanet-Tolosan,Alsting,,,Favreau Les Mauges,QP043001
,Castelginest,Altagène,,,Firminy Vert,QP043002
,Castellane,Alteckendorf,,,Fleming La Reille,QP044001
,Castelsarrasin,Altenach,,,Flers En Escrebieux Pont De La Deûle - Dorignies,QP044002
,Castres-1,Altenheim,,,Fleurimont-Flamboyant,QP044003
,Castres-2,Althen-des-Paluds,,,Fleurs,QP044004
,Castres-3,Altiani,,,Florida Parc,QP044005
,Cateau-Cambrésis,Altier,,,Floréal Saussaie Allende,QP044006
,Caudebec-lès-Elbeuf,Altillac,,,Fonderie - Péricentre,QP044007
,Caudry,Altkirch,,,Fontaine D'Ouche,QP044008
,Causse et Bouriane,Altorf,,,Fontaine Du Bac,QP044009
,Causse et Vallées,Altrippe,,,Fontaines,QP044010
,Causse-Comtal,Altviller,,,Fontanilles,QP044011
,Causses-Rougiers,Altwiller,,,Fontbouillant,QP044012
,Cavaillon,Aluze,,,Forges - Montanot,QP044013
,Cazouls-lès-Béziers,Alvignac,,,Fort Nieulay - Cailloux - Saint-Pierre,QP044014
,Cazères,Alvimare,,,Fosse Rouge - Cité Verte,QP044015
,Celles-sur-Belle,Alzen,,,Fossés Jean,QP044016
,Cenon,Alzi,,,Fourches - Charcot,QP044017
,Ceor-Ségala,Alzing,,,Fourchevieillles - Comtadines - L’Aygues,QP044018
,Cergy-1,Alzon,,,Fourmies,QP044019
,Cergy-2,Alzonne,,,Frais Marais,QP045001
,Cerizay,Alçay-Alçabéhéty-Sunharette,,,Frais Vallon,QP045002
,Cernay,Alès,,,Franc Moisin - Cosmonautes - Cristino Garcia - Landy,QP045003
,Ceton,Alénya,,,Frange Ouest Du Centre-Ville Aggloméré,QP045004
,Ceyzériat,Aléria,,,Friches,QP045005
,Chablis,Amage,,,Fécamp quartier du Ramponneau,QP045006
,Chagny,Amagne,,,Gagarine,QP045007
,Chalindrey,Amagney,,,Gailloncelle - Verte Bonne - Jardin du Bas,QP045008
,Challans,Amailloux,,,Galmot,QP045009
,Chalon-sur-Saône-1,Amance,,,Gambetta,QP045010
,Chalon-sur-Saône-2,Amancey,,,Gambetta-Richelieu,QP045011
,Chalon-sur-Saône-3,Amancy,,,Gare,QP045012
,Chalonnes-sur-Loire,Amange,,,Gare Et Verrière,QP045013
,Chalosse Tursan,Amanlis,,,Garibaldi,QP045014
,Chamalières,Amanty,,,Gaspard La Réserve,QP045015
,Chambord,Amanvillers,,,Gide - Colomb,QP045016
,Chambéry-1,Amanzé,,,Ginestous,QP045017
,Chambéry-2,Amarens,,,Gorge de Loup - La Vallonière,QP045018
,Chambéry-3,Amathay-Vésigneux,,,Gouraincourt - Remparts,QP045019
,Champagnole,Amayé-sur-Orne,,,Goutte D'Or,QP046001
,Champigny-sur-Marne-1,Amayé-sur-Seulles,,,Grammont - Saint Sever - Orléans,QP047001
,Champigny-sur-Marne-2,Amazy,,,Grand Belleville,QP047002
,Champs-sur-Marne,Ambacourt,,,Grand Caillou,QP047003
,Changé,Ambarès-et-Lagrave,,,Grand Camp,QP047004
,Chaniers,Ambax,,,Grand Centre,QP047005
,Chantilly,Ambazac,,,Grand Centre - Sémard,QP047006
,Chantonnay,Ambel,,,Grand Clos,QP047007
,Chapelle-de-Guinchay,Ambenay,,,Grand Ensemble,QP049001
,Chapelle-sur-Erdre,Ambernac,,,Grand Garros,QP049002
,Charente-Bonnieure,Amberre,,,Grand Mama'o,QP049003
,Charente-Champagne,Ambert,,,Grand Mirail,QP049004
,Charente-Nord,Ambeyrac,,,Grand Pigeon,QP049005
,Charente-Sud,Ambialet,,,Grand Pont,QP049006
,Charente-Vienne,Ambiegna,,,Grand Saint Barthélémy,QP049007
,Charenton-le-Pont,Ambierle,,,Grand Val d'Aran-en-Jacca,QP049008
,Charité-sur-Loire,Ambillou,,,Grand Vaux,QP049009
,Charleville-Mézières-1,Ambilly,,,Grand-Parc,QP049010
,Charleville-Mézières-2,Ambiévillers,,,Grande Delle - Val - Belles Portes - Grand Parc - Haute Folie - Le Bois,QP049011
,Charleville-Mézières-3,Amblainville,,,Grande Fontaine - Bouillon,QP049012
,Charleville-Mézières-4,Amblans-et-Velotte,,,Grande Pâture - Les Montôts,QP049013
,Charlieu,Ambleny,,,Grande Reyssouze Terre des Fleurs,QP050001
,Charmes,Ambleteuse,,,Grande Résidence,QP050002
,Charny,Ambleville,,,Grande Île,QP050003
,Charolles,Ambloy,,,Grandes Bornes Elargies,QP050004
,Chartres-1,Ambly-Fleury,,,Grazailles,QP050005
,Chartres-2,Ambly-sur-Meuse,,,Griffeuille,QP050006
,Chartres-3,Ambléon,,,Grigny 2,QP050007
,Chartreuse-Guiers,Amboise,,,Grâce De Dieu,QP051001
,Charvieu-Chavagneux,Ambon,,,Guillaume centre,QP051002
,Chasseneuil-du-Poitou,Ambonil,,,Guirbaden,QP051003
,Chatou,Ambonnay,,,Guitard,QP051004
,Chauffailles,Ambonville,,,Gumenen Goaner-Parco Pointer,QP051005
,Chaumont-1,Ambrault,,,Guérinière,QP051006
,Chaumont-2,Ambres,,,Gély - Figuerolles,QP051008
,Chaumont-3,Ambricourt,,,Génicart Est,QP051009
,Chaumont-en-Vexin,Ambrief,,,Générat - Establet,QP051010
,Chauny,Ambrines,,,HBM - Les Tours,QP051011
,Chauvigny,Ambrières,,,Haapape,QP051012
,Chelles,Ambrières-les-Vallées,,,Hamuta Vallée,QP052001
,Chemillé-Melay,Ambronay,,,Hamuta plaine,QP052002
,Chenôve,Ambrugeat,,,Haumaua - Carriere,QP052003
,Cherbourg-Octeville-1,Ambrumesnil,,,Haussonville - Les Nations,QP052004
,Cherbourg-Octeville-2,Ambrus,,,Haut Clichy - Centre Ville - Bosquets - Lucien Noel,QP053001
,Cherbourg-Octeville-3,Ambutrix,,,Haut Livrac,QP053002
,Chesnay,Ambès,,,Haut-Pays - La Grusie,QP053003
,Cheval-Blanc,Ambérac,,,Haute Roche,QP054001
,Chevigny-Saint-Sauveur,Ambérieu-en-Bugey,,,Hautepierre,QP054002
,Chinon,Ambérieux,,,Hauteville,QP054003
,Chirac,Ambérieux-en-Dombes,,,Hauts De Vallières,QP054004
,Choisy-le-Roi,Amel-sur-l'Étang,,,Hauts d'Asnières,QP054005
,Cholet-1,Amelécourt,,,Hauts de Saint Aubin,QP054006
,Cholet-2,Amendeuix-Oneix,,,Hauts de Saint-Claude,QP054007
,Chorges,Amenoncourt,,,Hauts de Sainte-Croix - Mounédé,QP054008
,Châlette-sur-Loing,Amenucourt,,,Heiri,QP054009
,Châlons-en-Champagne-1,Ames,,,Hitimahana,QP054010
,Châlons-en-Champagne-2,Amettes,,,Hiupape,QP054011
,Châlons-en-Champagne-3,Ameugny,,,Hohberg,QP054012
,Chârost,Ameuvelle,,,Ile De Thau,QP054013
,Châtaigneraie,Amfreville,,,Iles De Mars Olympiades,QP054014
,Château-Arnoux-Saint-Auban,Amfreville-Saint-Amand,,,Iranget Grangette,QP054015
,Château-Chinon,Amfreville-la-Mi-Voie,,,Irlandais - Paul Vaillant Couturier - Cherchefeuille - Clément Ader,QP054016
,Château-Gontier,Amfreville-les-Champs,,,Ivry Port,QP054017
,Château-Porcien,Amfreville-sous-les-Monts,,,Izards - 3 Cocus - La Vache,QP054018
,Château-Renault,Amfreville-sur-Iton,,,JT - Taaone,QP055001
,Château-Thierry,Amfroipret,,,Jardins Parisiens,QP055002
,Château-du-Loir,Amiens,,,Jardins Parisiens - Stade,QP055003
,Châteaubriant,Amifontaine,,,Jas-De-Bouffan,QP056001
,Châteaudun,Amigny,,,Jaurès - Gournay,QP056002
,Châteaugiron,Amigny-Rouy,,,Jaurès-Séverine,QP056003
,Châteaumeillant,Amillis,,,Jean Jaurès,QP056004
,Châteauneuf-sur-Loire,Amilly,,,Jean Macé,QP056005
,Châteauponsac,Amions,,,Jean Monnet,QP056006
,Châteaurenard,Amirat,,,Jean Moulin - Espoir,QP056007
,Châteauroux-1,Ammerschwihr,,,Jean Moulin - Jean Bouin,QP056008
,Châteauroux-2,Amné,,,Jean Yole - Pyramides,QP056009
,Châteauroux-3,Amnéville,,,Joliot Curie,QP057001
,Châteauvillain,Amoncourt,,,Joncherolles - Fauvettes,QP057002
,Châtel-Guyon,Amondans,,,Jules Guesde,QP057003
,Châtelaillon-Plage,Amont-et-Effreney,,,Jura - Citadelle,QP057004
,Châtellerault-1,Amorots-Succos,,,Justice - Butte Blanche,QP057005
,Châtellerault-2,Amou,,,Justice-Saut le Cerf,QP057006
,Châtellerault-3,Ampilly-le-Sec,,,Kalliste La Granière La Solidarité,QP057007
,Châtenay-Malabry,Ampilly-les-Bordes,,,Kellermann,QP057008
,Châtenois-les-Forges,Amplepuis,,,Kellermann - Paul Bourget,QP057009
,Châtillon,Amplier,,,Kellermann-Foucharupt,QP057010
,Châtillon-sur-Chalaronne,Amponville,,,Kennedy,QP057011
,Châtillon-sur-Seine,Ampriani,,,Ker Uhel,QP057012
,Châtre,Ampuis,,,Kerandon,QP057013
,Ciotat,Ampus,,,Kerangoff Loti,QP057014
,Civray,Amuré,,,Kercado,QP057015
,Clamart,Amy,,,Keredern,QP057016
,Clamecy,Amécourt,,,Kerguillette - Petit Paradis - St Armel,QP057017
,Claye-Souilly,Amélie-les-Bains-Palalda,,,Keriou Ker,QP057018
,Clermont,Anais,,,Kermoysan,QP057019
,Clermont-Ferrand-1,Anan,,,Kerourien,QP057020
,Clermont-Ferrand-2,Ance Féas,,,Kervenanec Nord,QP057021
,Clermont-Ferrand-3,Anceaumeville,,,Koenigshoffen-Est,QP057022
,Clermont-Ferrand-4,Ancelle,,,L'Agachon,QP057023
,Clermont-Ferrand-5,Ancemont,,,L'Almont,QP057024
,Clermont-Ferrand-6,Ancenis,,,L'Anse,QP058001
,Clermont-en-Argonne,Ancerville,,,L'Arche Guedon,QP058002
,Clermont-l'Hérault,Ancerviller,,,L'Avre,QP058003
,Clichy,Ancey,,,L'Ecusson,QP058005
,Clisson,Anchamps,,,L'Egalité,QP059001
,Cluny,Anchenoncourt-et-Chazel,,,L'Eglise,QP059002
,Cluses,Anché,,,L'Epinette,QP059003
,Cognac-1,Ancienville,,,L'Etang Des Moines,QP059004
,Cognac-2,Ancier,,,L'entre bois des roches,QP059005
,Collet-de-Dèze,Ancinnes,,,La Bastide,QP059006
,Colmar-1,Ancizan,,,La Beaucaire,QP059007
,Colmar-2,Ancizes-Comps,,,La Boissière,QP059008
,Colombes-1,Ancourt,,,La Borelle,QP059009
,Colombes-2,Ancourteville-sur-Héricourt,,,La Boucan - Cadet - Conodor - Belle Plaine,QP059010
,Combourg,Ancretiéville-Saint-Victor,,,La Boucle de l’Isle,QP059011
,Combs-la-Ville,Ancretteville-sur-Mer,,,La Bourgogne,QP059012
,Commentry,Ancteville,,,La Briquetterie,QP059013
,Commercy,Anctoville-sur-Boscq,,,La Californie,QP059014
,Compiègne-1,Ancy,,,La Capelette,QP059015
,Compiègne-2,Ancy-Dornot,,,La Capsulerie,QP059016
,Concarneau,Ancy-le-Franc,,,La Carraire,QP059017
,Conches-en-Ouche,Ancy-le-Libre,,,La Castellane La Bricarde,QP059018
,Condat-sur-Vienne,Ancône,,,La Cayolle,QP059019
,Condé-sur-Noireau,Andainville,,,La Chanaye - Résidence,QP059020
,Condé-sur-Vire,Andance,,,La Chapelle,QP059021
,Conflans-Sainte-Honorine,Andancette,,,La Chapelle - Evangile,QP059022
,Confluent,Andechy,,,La Chaussée,QP059023
,Contes,Andel,,,La Châtoire,QP059024
,Corbeil-Essonnes,Andelain,,,La Clède - Gare - Route de Pertuis - Sainte Anne,QP059025
,Corbie,Andelaroche,,,La Condamine,QP059026
,Corbigny,Andelarre,,,La Conte - Ozanam,QP059027
,Corbières,Andelarrot,,,La Couronne,QP059028
,Corbières Méditerranée,Andelat,,,La Cravache Le Trioulet,QP059029
,Corte,Andelnans,,,La Croix  De Vernailles,QP059030
,Cosne-Cours-sur-Loire,Andelot-Blancheville,,,La Croix Blanche,QP059031
,Cossé-le-Vivien,Andelot-Morval,,,La Dollée,QP059032
,Coteau,Andelot-en-Montagne,,,La Découverte,QP059033
,Coteau de Chalosse,Andelu,,,La Falgalarié,QP059034
,Coteaux,Andelys,,,La Fauvarge,QP059035
,Coteaux de Dordogne,Andernay,,,La Florane,QP059036
,Coteaux de Guyenne,Andernos-les-Bains,,,La Fontaine des Eaux,QP059037
,Coteaux de Moselle,Anderny,,,La Forêt,QP059038
,Coudekerque-Branche,Andert-et-Condon,,,La Fourche/Canal de l'Ourcq,QP059039
,Coulommiers,Andeville,,,La Fourguette,QP059040
,Coulounieix-Chamiers,Andillac,,,La Frescoule,QP059041
,Courbevoie-1,Andilly,,,La Gabelle,QP059042
,Courbevoie-2,Andilly-en-Bassigny,,,La Galboisière,QP059043
,Courneuve,Andiran,,,La Gauthière,QP059044
,Cournon-d'Auvergne,Andlau,,,La Gavotte - Peyret,QP059045
,Couronne,Andoins,,,La Gloire,QP059046
,Courseulles-sur-Mer,Andolsheim,,,"La Grand-Combe, les Salles du Gardon et  Branoux Les Taillades",QP059047
,Courtenay,Andon,,,La Grande Borne,QP059048
,Couserans Est,Andonville,,,La Grande Prairie,QP059049
,Couserans Ouest,Andornay,,,La Grange Aux Cerfs,QP059050
,Coutances,Andouillé,,,La Haie Griselle - La Hêtraie,QP059051
,Couzeix,Andouillé-Neuville,,,La Halvêque,QP059052
,Crau,Andouque,,,La Houillère,QP059053
,Creil,Andrein,,,La Luire - Viscose,QP059054
,Creney-près-Troyes,Andres,,,La Madeleine,QP059055
,Crest,Andrest,,,La Madeleine - Maréchal Leclerc,QP059057
,Creusot-1,Andrezel,,,La Maille,QP059058
,Creusot-2,Andryes,,,La Maladière - Les Peupliers,QP059059
,Croix,Andrésy,,,La Marie,QP059060
,Crozon,Andrézieux-Bouthéon,,,La Molette,QP059061
,Crès,Anduze,,,La Monaque,QP059062
,Créances,Andé,,,La Mouchonnière,QP059063
,Créon,Anet,,,La Moulinelle,QP059064
,Crépy-en-Valois,Angaïs,,,La Moustey,QP059065
,Créteil-1,Angeac-Champagne,,,La Nacelle - Papeterie,QP059066
,Créteil-2,Angeac-Charente,,,La Nacre - Saint Exupéry,QP059067
,Cuiseaux,Angecourt,,,La Passerelle,QP059069
,Cusset,Angeduc,,,La Patrotte - Metz-Nord,QP059070
,Cère et Ségala,Angely,,,La Petite Sensive,QP059071
,Cébazat,Angeot,,,La Plaine,QP059072
,Cévennes Ardéchoises,Angers,,,La Plaine - La Forge - Guynemer,QP059073
,Côte Sableuse,Angerville,,,La Plaine De Lys - Bernard De Poret,QP059074
,Côte Salanquaise,Angerville-Bailleul,,,La Plaine Du 7,QP059075
,Côte Vermeille,Angerville-l'Orcher,,,La Prairie De L'Oly,QP059076
,Côte d'Argent,Angerville-la-Campagne,,,La Pépinière,QP059077
,Cœur de Béarn,Angerville-la-Martel,,,La Pépinière-De Gaulle,QP059078
,Cœur de Puisaye,Angervilliers,,,La Redoute (Le Fort-Michelet),QP059079
,Damigny,Angeville,,,La Renardière,QP059080
,Dampierre-sur-Salon,Angevillers,,,La Rive Droite,QP059081
,Darney,Angicourt,,,La Rivière,QP059082
,Darnétal,Angiens,,,La Rode,QP059083
,Dax-1,Angirey,,,La Romière,QP059084
,Dax-2,Angivillers,,,La Rouguière,QP059085
,Decize,Anglade,,,La Rénovation,QP059086
,Delle,Anglards-de-Saint-Flour,,,La Saulaie,QP059087
,Dembeni,Anglards-de-Salers,,,La Sauvagère,QP059088
,Denain,Anglars,,,La Savine Bosphore,QP059089
,Descartes,Anglars-Juillac,,,La Simiane La Paternelle Vieux Moulin,QP059090
,Desvres,Anglars-Nozac,,,La Solitude Hermitage,QP059091
,Deuil-la-Barre,Anglars-Saint-Félix,,,La Soude Bengale,QP060001
,Deux Rives,Anglefort,,,La Source,QP060002
,Deux Rivières et Vallées,Anglemont,,,La Source - Les Presles,QP060003
,Dieppe-1,Angles,,,La Source Bellepierre,QP060004
,Dieppe-2,Angles-sur-Corrèze,,,La Turfaudière,QP060005
,Dieue-sur-Meuse,Angles-sur-l'Anglin,,,La Vallée aux Renards,QP060006
,Dieulefit,Anglesqueville-l'Esneval,,,La Verrerie,QP060007
,Digne-les-Bains-1,Anglesqueville-la-Bras-Long,,,La Victoire,QP060008
,Digne-les-Bains-2,Anglet,,,La Ville aux Roses,QP060009
,Digoin,Angliers,,,La Visitation - Bassens,QP060010
,Dijon-1,Anglure,,,La Viste,QP060011
,Dijon-2,Anglure-sous-Dun,,,La cité,QP060012
,Dijon-3,Angluzelles-et-Courcelles,,,La longue mare,QP060013
,Dijon-4,Anglès,,,Lac Renardières Ozon,QP060014
,Dijon-5,Angoisse,,,Laden Petit Train,QP060016
,Dijon-6,Angomont,,,Laennec,QP060017
,Dinan,Angos,,,Laiterie,QP060018
,Diois,Angoulins,,,Lalande Nord,QP061001
,Dol-de-Bretagne,Angoulême,,,Lalizel,QP061002
,Dole-1,Angoumé,,,Lambézellec Bourg,QP061003
,Dole-2,Angous,,,Lameilhé,QP061004
,Domfront,Angoustrine-Villeneuve-des-Escaldes,,,Langevin,QP061005
,Domont,Angoville,,,Langevin - Lavoisier - Tartres - Allende,QP061006
,Dompierre-sur-Besbre,Angres,,,Languedoc - Cité 10,QP061007
,Dormans-Paysages de Champagne,Angresse,,,Lapanouse,QP062001
,Douai,Angrie,,,Las Planas - Le Rouret,QP062002
,Douarnenez,Anguilcourt-le-Sart,,,Laubadère,QP062003
,Doullens,Angy,,,Lauricisque- Bergevin,QP062004
,Dourdan,Angé,,,Layat Bas-Mas,QP062005
,Douvrin,Anhaux,,,Le Banlay,QP062006
,Doué-la-Fontaine,Anhiers,,,Le Bas De La Rivière,QP062007
,Draguignan,Aniane,,,Le Bas Maréchal Leclerc,QP062008
,Drancy,Aniche,,,Le Belvédère,QP062009
,Draveil,Anisy,,,Le Bief Du Moulin,QP062010
,Dreux-1,Anizy-le-Château,,,Le Blosne,QP062011
,Dreux-2,Anjeux,,,Le Bois L'Abbé,QP062012
,Drôme des collines,Anjou,,,Le Bourg - Cayenne - Marquisat - Moulin à Eau,QP062013
,Dun-le-Palestel,Anjouin,,,Le Bourg - Chautemps,QP062014
,Dun-sur-Auron,Anjoutey,,,Le Bourg - Sainte-Marie - Bébel - Viard,QP062015
,Dunkerque-1,Anla,,,Le Bourg Le Comte,QP062016
,Dunkerque-2,Anlezy,,,Le Breil,QP062017
,Dzaoudzi,Anlhiac,,,Le Butor,QP062018
,Elbeuf,Annay,,,Le Canal,QP062019
,Emblavez-et-Meygal,Annay-la-Côte,,,Le Carami,QP062020
,Embrun,Annay-sur-Serein,,,Le Castellas Les Micocouliers,QP062021
,Enne et Alzou,Annebault,,,Le Centre,QP062022
,Ensisheim,Annecy,,,Le Chalet - Helvetia-Park - Hutins,QP062023
,Entre Seille et Meurthe,Annelles,,,Le Charrel,QP062024
,Entre-Deux-Mers,Annemasse,,,Le Chaudron,QP062025
,Ermont,Annepont,,,Le Château,QP062026
,Ernée,Annequin,,,Le Clos La Rose,QP062027
,Erstein,Annesse-et-Beaulieu,,,Le Clos Toreau,QP062028
,Escalquens,Annet-sur-Marne,,,Le Clos de la Grande Salle,QP062029
,Essômes-sur-Marne,Anneux,,,Le Dorlay - Les Pins - La Bachasse,QP062030
,Estrées-Saint-Denis,Anneville-Ambourville,,,Le Garet,QP062031
,Estuaire,Anneville-en-Saire,,,Le Gol,QP062032
,Eu,Anneville-sur-Mer,,,Le Gond,QP062033
,Eurville-Bienville,Anneville-sur-Scie,,,Le Grand Bellevue,QP062034
,Eymoutiers,Anneyron,,,Le Grand Larivot,QP062035
,Faches-Thumesnil,Annezay,,,Le Grand-Longs-Traits/Berlioz,QP062036
,Falaise,Annezin,,,Le Hameau,QP062037
,Fameck,Annoire,,,Le Hamois,QP062038
,Faulquemont,Annois,,,Le Haut D'Houdain,QP062039
,Faverges,Annoisin-Chatelans,,,Le Haut Du Gras,QP062040
,Felletin,Annoix,,,Le Jonquet - La Baume- Le Guynemer,QP062041
,Ferté-Bernard,Annonay,,,Le Lac,QP062042
,Ferté-Macé,Annonville,,,Le Lac - Centre Ancien,QP062043
,Ferté-Saint-Aubin,Annot,,,Le Londeau,QP062044
,Ferté-sous-Jouarre,Annouville-Vilmesnil,,,Le Mail,QP062045
,Feurs,Annoux,,,Le Mathiolan,QP062046
,Fezensac,Annoville,,,Le Mont,QP062047
,Figeac-1,Annéot,,,Le Morier,QP062048
,Figeac-2,Annéville-la-Prairie,,,Le Mortard,QP062049
,Firminy,Annœullin,,,Le Moulinard,QP062050
,Fismes-Montagne de Reims,Anor,,,Le Noyer Renard,QP062051
,Fiumorbo-Castello,Anos,,,Le Parc,QP062053
,Flayosc,Anost,,,Le Parc Aux Lièvres,QP062055
,Flers-1,Anould,,,Le Perrier - Château Rouge - Livron,QP062056
,Flers-2,Anoux,,,Le Petit Séminaire,QP062057
,Fleurance-Lomagne,Anoye,,,Le Peyrouat élargi,QP062058
,Fleury-les-Aubrais,Anquetierville,,,Le Plateau,QP062059
,Flixecourt,Anrosey,,,Le Plateau - Europe - Balzac,QP062060
,Florac,Ansac-sur-Vienne,,,Le Plateau - Les Malassis - La Noue,QP062061
,Flèche,Ansacq,,,Le Port - Secteur Ouest,QP062062
,Foix,Ansan,,,Le Prépaou,QP062063
,Fontaine-Seyssinet,Ansauville,,,Le Péronnet,QP062064
,Fontaine-Vercors,Ansauvillers,,,Le Quartier Nord,QP063002
,Fontaine-lès-Dijon,Anse,,,Le Ranzay,QP063003
,Fontainebleau,Anse-Bertrand,,,Le Rhumont,QP063004
,Fontenay-Trésigny,Anses-d'Arlet,,,Le Roc,QP063005
,Fontenay-le-Comte,Ansignan,,,Le Roule - Cadière,QP063006
,Fontenay-sous-Bois,Ansost,,,Le Ruisseau,QP063007
,Forbach,Ansouis,,,Le Sablar,QP064001
,Forcalquier,Anstaing,,,Le Sablard,QP064002
,Forêts de Gascogne,Antagnac,,,Le Seycheron,QP064003
,Fosses,Anterrieux,,,Le Sillon de Bretagne,QP064004
